Date,Close
2014-01-02,58.21
2014-01-03,58.66
2014-01-06,59
2014-01-07,58.32
2014-01-08,58.87
2014-01-09,58.76
2014-01-10,58.49
2014-01-13,57.7
2014-01-14,57.74
2014-01-15,59.49
2014-01-16,58.99
2014-01-17,58.11
2014-01-21,58.17
2014-01-22,57.59
2014-01-23,56.47
2014-01-24,55.09
2014-01-27,55.09
2014-01-28,55.74
2014-01-29,55.53
2014-01-30,56
2014-01-31,55.36
2014-02-03,54.31
2014-02-04,54.95
2014-02-05,55.21
2014-02-06,56.48
2014-02-07,56.62
2014-02-10,56.74
2014-02-11,57.43
2014-02-12,57.52
2014-02-13,58.03
2014-02-14,58.15
2014-02-18,58.49
2014-02-19,57.26
2014-02-20,57.58
2014-02-21,57.61
2014-02-24,58.03
2014-02-25,57.03
2014-02-26,56.75
2014-02-27,56.69
2014-02-28,56.82
2014-03-03,56.21
2014-03-04,57.26
2014-03-05,58.16
2014-03-06,58.9
2014-03-07,59.4
2014-03-10,59.2
2014-03-11,58.19
2014-03-12,57.92
2014-03-13,57.42
2014-03-14,56.8
2014-03-17,57.58
2014-03-18,58.06
2014-03-19,58.3
2014-03-20,60.11
2014-03-21,60.17
2014-03-24,61.07
2014-03-25,60.93
2014-03-26,59.9
2014-03-27,59.92
2014-03-28,60.04
2014-03-31,60.71
2014-04-01,60.67
2014-04-02,60.48
2014-04-03,60.66
2014-04-04,59.81
2014-04-07,59
2014-04-08,58.85
2014-04-09,59.27
2014-04-10,57.4
2014-04-11,55.3
2014-04-14,54.96
2014-04-15,54.8
2014-04-16,55.26
2014-04-17,55.22
2014-04-21,55.03
2014-04-22,55.81
2014-04-23,56.05
2014-04-24,56.19
2014-04-25,55.7
2014-04-28,55.49
2014-04-29,56.1
2014-04-30,55.98
2014-05-01,55.72
2014-05-02,55.58
2014-05-05,54.22
2014-05-06,53.34
2014-05-07,54.05
2014-05-08,54.36
2014-05-09,54.01
2014-05-12,54.65
2014-05-13,54.62
2014-05-14,54.36
2014-05-15,53.51
2014-05-16,53.31
2014-05-19,53.83
2014-05-20,53.72
2014-05-21,54.12
2014-05-22,54.55
2014-05-23,54.53
2014-05-27,55.14
2014-05-28,55.45
2014-05-29,55.72
2014-05-30,55.57
2014-06-02,55.35
2014-06-03,55.6
2014-06-04,55.68
2014-06-05,56.63
2014-06-06,56.97
2014-06-09,57.42
2014-06-10,57.9
2014-06-11,57.27
2014-06-12,57.04
2014-06-13,57.04
2014-06-16,56.87
2014-06-17,57.42
2014-06-18,57.78
2014-06-19,57.3
2014-06-20,57.55
2014-06-23,58.19
2014-06-24,57.42
2014-06-25,57.53
2014-06-26,57.39
2014-06-27,57.53
2014-06-30,57.62
2014-07-01,57.57
2014-07-02,56.97
2014-07-03,57.05
2014-07-07,56.67
2014-07-08,55.76
2014-07-09,56.02
2014-07-10,55.56
2014-07-11,55.8
2014-07-14,56.29
2014-07-15,58.27
2014-07-16,58.71
2014-07-17,57.86
2014-07-18,58.23
2014-07-21,58.24
2014-07-22,58.67
2014-07-23,59
2014-07-24,59.17
2014-07-25,59.01
2014-07-28,59.19
2014-07-29,58.64
