Date,Close
2016-10-28,23.7
2016-10-31,22.75
2016-11-01,22.49
2016-11-02,22.15
2016-11-03,21.98
2016-11-04,21.78
2016-11-07,23.42
2016-11-08,22.6
2016-11-09,23.01
2016-11-10,24.41
2016-11-11,23.89
2016-11-14,23.49
2016-11-15,25.51
2016-11-16,24.8
2016-11-17,25.56
2016-11-18,27.53
2016-11-21,27.75
2016-11-22,27
2016-11-23,26.97
2016-11-25,26.84
2016-11-28,27.33
2016-11-29,28.3
2016-11-30,26.94
2016-12-01,26.79
2016-12-02,27.2
2016-12-05,26.89
2016-12-06,25.8
2016-12-07,26.22
2016-12-08,26.08
2016-12-09,25.8
2016-12-12,25.55
2016-12-13,25.08
2016-12-14,24.67
2016-12-15,24.65
2016-12-16,25.08
2016-12-19,26.2
2016-12-20,27
2016-12-21,28.06
2016-12-22,27.78
2016-12-23,27.4
2016-12-27,26.85
2016-12-28,26.92
2016-12-29,26.83
2016-12-30,27.63
2017-01-03,27.89
2017-01-04,27.66
2017-01-05,26.92
2017-01-06,27.17
2017-01-09,27.19
2017-01-10,26.71
2017-01-11,26.74
2017-01-12,26.47
2017-01-13,26.89
2017-01-17,26.79
2017-01-18,27.17
2017-01-19,26.89
2017-01-20,28.3
2017-01-23,27.45
2017-01-24,27.66
2017-01-25,28.09
2017-01-26,27.83
2017-01-27,27.64
2017-01-30,26.94
2017-01-31,27.18
2017-02-01,26.82
2017-02-02,26.96
2017-02-03,27.48
2017-02-06,27.26
2017-02-07,27.46
2017-02-08,27.15
2017-02-09,27.3
2017-02-10,27.46
2017-02-13,27.3
2017-02-14,27.54
2017-02-15,28.26
2017-02-16,28.43
2017-02-17,29.44
2017-02-21,29.59
2017-02-22,28.99
2017-02-23,29.3
2017-02-24,29.92
2017-02-27,29.56
2017-02-28,28.53
2017-03-01,28.9
2017-03-02,28.97
2017-03-03,28.6
2017-03-06,27.83
2017-03-07,27.5
2017-03-08,27.13
2017-03-09,26.95
2017-03-10,27.15
2017-03-13,27.44
2017-03-14,27.38
2017-03-15,28.14
2017-03-16,29.24
2017-03-17,30.33
2017-03-20,30.13
2017-03-21,29.52
2017-03-22,28.62
2017-03-23,28.77
2017-03-24,28.85
2017-03-27,28.7
2017-03-28,29.06
2017-03-29,29.34
2017-03-30,29.43
2017-03-31,29.76
2017-04-03,29.44
2017-04-04,29.76
2017-04-05,29.69
2017-04-06,29.99
2017-04-07,30.04
2017-04-10,30
2017-04-11,31.5
2017-04-12,31.21
2017-04-13,30.4
2017-04-17,31.37
2017-04-18,32.07
2017-04-19,32.44
2017-04-20,33.01
2017-04-21,32.79
2017-04-24,32.41
2017-04-25,32.65
2017-04-26,32.66
2017-04-27,33
2017-04-28,32.87
2017-05-01,32.42
2017-05-02,32.63
2017-05-03,32.04
2017-05-04,32.21
2017-05-05,32.86
2017-05-08,31.25
2017-05-09,31.22
2017-05-10,32
2017-05-11,31.87
2017-05-12,31.92
2017-05-15,31.43
2017-05-16,31.67
2017-05-17,31.55
2017-05-18,31.71
2017-05-19,32.33
2017-05-22,32.68
2017-05-23,32.6
2017-05-24,33.39
2017-05-25,34.99
2017-05-26,34.74
2017-05-30,34
2017-05-31,33.76
2017-06-01,34.09
2017-06-02,34.93
2017-06-05,34.86
2017-06-06,33.54
2017-06-07,33.01
2017-06-08,33.93
2017-06-09,33.21
2017-06-12,32.66
2017-06-13,33.26
2017-06-14,33.69
2017-06-15,33.78
2017-06-16,35.23
2017-06-19,35.71
2017-06-20,36.5
2017-06-21,37.35
2017-06-22,37.63
2017-06-23,38.06
2017-06-26,37.8
2017-06-27,36.76
2017-06-28,37.02
2017-06-29,36.26
2017-06-30,35.74
2017-07-03,36
2017-07-05,36.21
2017-07-06,35.95
2017-07-07,36.44
2017-07-10,36.95
2017-07-11,37.42
2017-07-12,37.65
2017-07-13,37.37
2017-07-14,37.29
2017-07-17,36.85
2017-07-18,37.12
2017-07-19,37.71
2017-07-20,37.64
2017-07-21,37.68
2017-07-24,38.42
2017-07-25,39.17
2017-07-26,39.29
2017-07-27,39.31
2017-07-28,39.1
2017-07-31,38.77
2017-08-01,38.28
2017-08-02,37.27
2017-08-03,37.45
2017-08-04,30.43
2017-08-07,29.8
2017-08-08,30.33
2017-08-09,30.51
2017-08-10,29.88
2017-08-11,29.88
2017-08-14,30.21
2017-08-15,29.82
2017-08-16,29.8
2017-08-17,29.85
2017-08-18,29.81
2017-08-21,29.9
2017-08-22,29.3
2017-08-23,29.17
2017-08-24,29.2
2017-08-25,29.65
2017-08-28,29.92
2017-08-29,29.8
2017-08-30,30.02
2017-08-31,30.87
2017-09-01,30.69
2017-09-05,30.85
2017-09-06,30.87
2017-09-07,32.18
2017-09-08,32.63
2017-09-11,34.23
2017-09-12,35.29
2017-09-13,36.35
2017-09-14,34.67
2017-09-15,33.88
2017-09-18,33.76
2017-09-19,33.44
2017-09-20,33.02
2017-09-21,33.15
2017-09-22,33.49
2017-09-25,33.24
2017-09-26,33.15
2017-09-27,33.62
2017-09-28,34.25
2017-09-29,34.12
2017-10-02,34.12
2017-10-03,33.98
2017-10-04,33.45
2017-10-05,33.51
2017-10-06,33.73
2017-10-09,33.31
2017-10-10,33.11
2017-10-11,33.28
2017-10-12,33.2
2017-10-13,33.63
2017-10-16,33.36
2017-10-17,33.54
2017-10-18,33.64
2017-10-19,33.56
2017-10-20,34.24
2017-10-23,34
2017-10-24,34.17
2017-10-25,34.5
2017-10-26,34.37
2017-10-27,35.26
2017-10-30,34.82
2017-10-31,35.52
2017-11-01,35.25
2017-11-02,35.08
2017-11-03,34.3
2017-11-06,35.54
2017-11-07,34.62
2017-11-08,35.21
2017-11-09,35.27
2017-11-10,36.12
2017-11-13,35.58
2017-11-14,35.69
2017-11-15,35.77
2017-11-16,37.53
2017-11-17,37.24
2017-11-20,37.48
2017-11-21,38.28
2017-11-22,38.54
2017-11-24,38.8
2017-11-27,38.11
2017-11-28,38.33
2017-11-29,36.45
2017-11-30,36.67
2017-12-01,36.13
2017-12-04,35.8
2017-12-05,34
2017-12-06,33.23
2017-12-07,34.35
2017-12-08,34.67
2017-12-11,35.04
2017-12-12,34.62
2017-12-13,34.9
2017-12-14,34.78
2017-12-15,34.74
2017-12-18,34.72
2017-12-19,34.92
2017-12-20,34.88
2017-12-21,35.02
2017-12-22,35.04
2017-12-26,35.16
2017-12-27,34.67
2017-12-28,33.89
2017-12-29,32.8
2018-01-02,33.41
2018-01-03,33.37
2018-01-04,34.95
2018-01-05,35
2018-01-08,34.32
2018-01-09,34.46
2018-01-10,34.31
2018-01-11,34.87
2018-01-12,34.9
2018-01-16,34.79
2018-01-17,34.85
2018-01-18,34.6
2018-01-19,34.6
2018-01-22,34.86
2018-01-23,34.42
2018-01-24,34.25
2018-01-25,33.35
2018-01-26,33.62
2018-01-29,32.94
2018-01-30,32.81
2018-01-31,33.23
2018-02-01,33.22
2018-02-02,32.98
2018-02-05,32.38
2018-02-06,32.6
2018-02-07,33.33
2018-02-08,32.77
2018-02-09,32.57
2018-02-12,33.5
2018-02-13,33.13
2018-02-14,33.51
2018-02-15,34.65
2018-02-16,39.04
2018-02-20,40.75
2018-02-21,40.29
2018-02-22,40.31
2018-02-23,40.19
2018-02-26,41.37
2018-02-27,43.18
2018-02-28,44
2018-03-01,43.81
2018-03-02,45.05
2018-03-05,44.27
2018-03-06,44.41
2018-03-07,44.24
2018-03-08,44.45
2018-03-09,44.31
2018-03-12,43.67
2018-03-13,40
2018-03-14,40.15
2018-03-15,39.7
2018-03-16,40.4
2018-03-19,38.39
2018-03-20,39.62
2018-03-21,40.02
2018-03-22,39.47
2018-03-23,38.64
2018-03-26,39.55
2018-03-27,38.95
2018-03-28,38.95
2018-03-29,39.21
2018-04-02,38
2018-04-03,38.46
2018-04-04,38.81
2018-04-05,38.78
2018-04-06,38.33
2018-04-09,38.26
2018-04-10,39.29
2018-04-11,39.63
2018-04-12,40.05
2018-04-13,40.24
2018-04-16,40.61
2018-04-17,41.36
2018-04-18,41.25
2018-04-19,41.46
2018-04-20,41.06
2018-04-23,40.97
2018-04-24,41.05
2018-04-25,41.04
2018-04-26,41.31
2018-04-27,40.97
2018-04-30,41.4
2018-05-01,41.57
2018-05-02,42.01
2018-05-03,42.84
2018-05-04,40.82
2018-05-07,40.74
2018-05-08,40.5
2018-05-09,41.37
2018-05-10,42.47
2018-05-11,41.6
2018-05-14,40.48
2018-05-15,39.97
2018-05-16,39.65
2018-05-17,39.52
2018-05-18,41.14
2018-05-21,41.63
2018-05-22,40.93
2018-05-23,39.96
2018-05-24,40.37
2018-05-25,40.24
2018-05-29,40.38
2018-05-30,40.57
2018-05-31,40.57
2018-06-01,42.64
2018-06-04,43.97
2018-06-05,43.73
2018-06-06,44.42
2018-06-07,42.9
2018-06-08,43.62
2018-06-11,44.55
2018-06-12,47.48
2018-06-13,48.91
2018-06-14,48.86
2018-06-15,49.79
2018-06-18,49.27
2018-06-19,48.47
2018-06-20,49.12
2018-06-21,48.03
2018-06-22,46.9
2018-06-25,44.55
2018-06-26,44.29
2018-06-27,42.82
2018-06-28,43.95
2018-06-29,43.43
2018-07-02,44.45
2018-07-03,44.74
2018-07-05,44.92
2018-07-06,45.18
2018-07-09,45.24
2018-07-10,45.31
2018-07-11,45.3
2018-07-12,47.17
2018-07-13,46.96
2018-07-16,46.64
2018-07-17,47.2
2018-07-18,47
2018-07-19,46.9
2018-07-20,47.03
2018-07-23,47.9
2018-07-24,46.62
2018-07-25,47.92
2018-07-26,47.49
2018-07-27,46.4
2018-07-30,43.69
2018-07-31,42.7
2018-08-01,43.28
2018-08-02,45.54
2018-08-03,47.07
2018-08-06,48.25
2018-08-07,49.04
2018-08-08,48.54
2018-08-09,47.75
2018-08-10,47.64
2018-08-13,46.58
2018-08-14,47
2018-08-15,46.99
2018-08-16,46.64
2018-08-17,46.56
2018-08-20,47.92
2018-08-21,48.67
2018-08-22,49.08
2018-08-23,49.92
2018-08-24,51.49
2018-08-27,52.2
2018-08-28,52.45
2018-08-29,52.63
2018-08-30,52.41
2018-08-31,52.76
2018-09-04,53.26
2018-09-05,52.64
2018-09-06,54.54
2018-09-07,55.04
2018-09-10,55.52
2018-09-11,55.81
2018-09-12,54.9
2018-09-13,54.29
2018-09-14,56.59
2018-09-17,54.73
2018-09-18,55.54
2018-09-19,54.44
2018-09-20,55.44
2018-09-21,55.4
